charge_id,business_product_instance_id,charge_counter,date,cost,event_type
1,1,1,18-11-2018,34.99,charged regularly
2,1,2,18-12-2018,34.99,charged regularly
3,1,3,18-1-2019,34.99,charged regularly
4,1,4,18-2-2019,34.99,charged regularly
5,1,5,18-3-2019,34.99,charged regularly
6,2,1,23-03-2018,5.49,charged just once
7,3,1,31-3-2018,60.0,charged regularly
8,3,2,1-5-2018,60.0,charged regularly
9,3,3,1-6-2018,60.0,charged regularly
10,3,4,1-7-2018,60.0,charged regularly
11,3,5,1-8-2018,60.0,charged regularly
12,3,6,1-9-2018,60.0,charged regularly
13,3,7,1-10-2018,60.0,charged regularly
14,3,8,1-11-2018,60.0,charged regularly
15,3,9,1-12-2018,60.0,charged regularly
16,3,10,1-1-2019,60.0,charged regularly
17,4,1,18-6-2016,60.0,charged regularly
18,4,2,18-7-2016,60.0,charged regularly
19,4,3,18-8-2016,60.0,charged regularly
20,4,4,18-9-2016,60.0,charged regularly
21,4,5,18-10-2016,60.0,charged regularly
22,4,6,18-11-2016,60.0,charged regularly
23,4,7,18-12-2016,60.0,charged regularly
24,4,8,18-1-2017,60.0,charged regularly
25,4,9,18-2-2017,60.0,charged regularly
26,4,10,18-3-2017,60.0,charged regularly
27,4,11,18-4-2017,60.0,charged regularly
28,4,12,18-5-2017,60.0,charged regularly
29,4,13,18-6-2017,60.0,charged regularly
30,4,14,18-7-2017,60.0,charged regularly
31,4,15,18-8-2017,60.0,charged regularly
32,4,16,18-9-2017,60.0,charged regularly
33,4,17,18-10-2017,60.0,charged regularly
34,4,18,18-11-2017,60.0,charged regularly
35,4,19,18-12-2017,60.0,charged regularly
36,4,20,18-1-2018,60.0,charged regularly
37,4,21,18-2-2018,60.0,charged regularly
38,4,22,18-3-2018,60.0,charged regularly
39,4,23,18-4-2018,60.0,charged regularly
40,4,24,18-5-2018,60.0,charged regularly
41,4,25,18-6-2018,60.0,charged regularly
42,4,26,18-7-2018,60.0,charged regularly
43,4,27,18-8-2018,60.0,charged regularly
44,4,28,18-9-2018,60.0,charged regularly
45,4,29,18-10-2018,60.0,charged regularly
46,4,30,18-11-2018,60.0,charged regularly
