id,customer_id,product_id,activation_date,termination_date,status,distribution
1,5774,10,2015-05-30,2017-04-08,inactive,web
2,5774,13,2017-01-30,2017-01-30,inactive,phyzical
3,2822,10,2020-09-04,----------,active,web
4,2822,12,2020-09-08,2021-04-14,inactive,web
5,3681,10,2022-10-12,----------,active,web
6,3681,12,2022-10-04,----------,active,web
7,2473,14,2011-01-13,2014-01-31,inactive,phyzical
8,2473,15,2011-11-03,2013-01-28,inactive,phyzical
9,5823,3,2021-06-08,----------,active,phyzical
10,5959,17,2018-04-13,2020-10-13,inactive,phyzical
11,5959,1,2014-08-29,2016-06-08,inactive,phyzical
12,5959,2,2015-03-28,2015-03-28,inactive,web
13,2910,18,2021-11-19,2021-12-11,inactive,phyzical
14,2910,8,2022-12-24,----------,active,web
15,4792,3,2010-02-15,2013-02-19,inactive,phyzical
16,4324,10,2020-08-22,2021-05-25,inactive,web
17,1305,19,2022-03-15,----------,active,phyzical
18,541,10,2022-03-13,----------,active,phyzical
19,541,19,2013-01-26,2013-07-01,inactive,web
20,541,20,2013-02-13,2013-04-13,inactive,phyzical
21,1413,19,2022-03-03,----------,active,phyzical
22,1413,20,2022-09-03,----------,active,web
23,1413,10,2020-03-30,----------,active,web
24,1413,13,2020-04-18,2020-09-05,inactive,web
25,6349,19,2022-04-05,----------,active,web
26,6349,20,2022-04-30,----------,active,web
27,7602,5,2012-08-17,2016-05-07,inactive,web
28,7602,7,2015-05-06,2016-05-07,inactive,web
29,7602,10,2005-10-30,2007-07-16,inactive,web
30,7602,12,2006-02-05,2006-11-26,inactive,web
31,8940,5,2018-02-26,2018-02-27,inactive,web
32,8940,7,2018-02-26,2018-02-26,inactive,web
33,8940,5,2018-01-22,2018-01-31,inactive,phyzical
34,8940,7,2018-01-28,2018-01-31,inactive,web
35,937,10,2021-04-07,2021-04-29,inactive,web
36,937,12,2021-04-12,2021-04-18,inactive,web
37,7376,19,2017-07-22,2018-09-27,inactive,phyzical
38,7376,16,2017-07-15,2019-09-30,inactive,phyzical
39,624,5,2014-03-26,2014-03-27,inactive,web
40,624,6,2014-03-27,2014-03-27,inactive,phyzical
41,624,17,2012-01-30,2013-09-09,inactive,web
42,3769,14,2022-03-02,----------,active,web
43,3769,9,2022-10-06,----------,active,web
44,9254,5,2008-04-15,2008-07-22,inactive,phyzical
45,9254,6,2008-05-22,2008-06-09,inactive,phyzical
46,8761,5,2002-05-27,2003-05-25,inactive,web
47,8761,10,2002-04-03,2002-04-24,inactive,web
48,8761,12,2002-04-09,2002-04-20,inactive,phyzical
49,9128,5,2020-11-12,----------,active,web
50,9128,7,2022-02-19,----------,active,web
51,9128,9,2021-01-23,----------,active,web
52,6323,4,2022-07-23,----------,active,phyzical
53,3735,3,2022-05-17,----------,active,web
54,3735,3,2022-11-03,----------,active,web
55,9173,18,2016-11-26,2017-05-25,inactive,phyzical
56,4343,19,2006-03-06,2008-07-22,inactive,web
57,4343,20,2008-04-19,2008-05-17,inactive,web
58,4343,17,2008-03-08,2010-04-22,inactive,web
59,7926,14,2021-05-28,----------,active,web
60,7926,15,2021-09-09,----------,active,web
61,1505,10,2005-11-18,2006-03-18,inactive,phyzical
62,4089,19,2022-07-19,----------,active,phyzical
63,5253,19,2019-09-05,2022-02-10,inactive,web
64,5253,20,2021-02-12,2021-08-02,inactive,web
65,7466,4,2016-12-01,2019-10-01,inactive,web
66,7466,1,2020-04-16,----------,active,web
67,6623,10,2017-10-03,2020-02-27,inactive,web
68,4758,14,2017-06-16,2020-06-26,inactive,phyzical
69,4767,5,2022-04-13,----------,active,web
70,4767,7,2022-10-16,----------,active,web
71,4873,9,2021-05-28,2021-12-16,inactive,web
72,7975,1,2005-01-05,2006-06-26,inactive,phyzical
73,7975,2,2005-11-08,2006-04-13,inactive,phyzical
74,4083,5,2017-02-17,2017-02-26,inactive,phyzical
75,4083,6,2017-02-20,2017-02-25,inactive,web
76,4083,14,2014-03-26,2015-12-30,inactive,web
77,9104,5,2018-12-24,2018-12-25,inactive,web
78,9104,1,2020-09-03,----------,active,web
79,4728,5,2021-10-08,----------,active,web
80,7615,19,2022-04-05,----------,active,phyzical
81,7615,20,2022-11-06,----------,active,phyzical
82,7615,19,2021-05-08,----------,active,web
83,293,4,2022-09-23,----------,active,web
84,293,5,2013-03-12,2013-10-24,inactive,phyzical
85,293,7,2013-07-20,2013-08-09,inactive,web
86,9132,5,2018-08-15,2022-01-17,inactive,web
87,9132,6,2021-01-30,2021-05-07,inactive,web
88,2205,14,2020-04-03,2021-06-16,inactive,web
89,2205,15,2021-06-02,2021-06-14,inactive,web
90,2205,4,2017-09-23,2017-09-27,inactive,phyzical
91,8768,8,2022-09-16,----------,active,web
92,8768,5,2019-12-01,2019-12-06,inactive,web
